Location,Site Description,Latitude,Longitude,MAT,MAP,ANPP,Biomass Increment,Litterfall,Foliar N,Foliar P,k,Soil Respiration,Soil N,Inorganic N,Soil P,Elevation,Soil Type,References
Mexico,Los Tuxtlas,18.6,-95.1,25.1,4639,,,,25,1.9,,,0.45,,1400,110,,Bongers et al. (1988); Hughes et al. (1999)
Mexico,Chamela,19.5,-105,24.9,679,6.8,3,3.8,6.4,,,,0.12,,,160,Andisol,Martinez-Yrizar et al. (1996); Renteria et al. (2005)
Panama,Barro Colorado/Gigante,9.2,-79.9,26,2640,18,7.2,10.7,23.5,0.94,2,14.4,0.44,21,772,120,Ultisol,Chave et al. (2003); Chave et al. (2004); Coley (1983); Kaspari et al. (2008); Kursar (1989); Kursar & Coley (1993); Leigh et al. (1982); Powers et al. (2005); Yavitt & Wieder (1988); Yavitt (2000)
Panama,Panama Transect,8,-80,25,3500,17.4,,9.8,14,0.9,,,,,,282,Andisol,Condit et al. (2004); Santiago et al. (2004); Santiago & Mulkey (2005); Santiago et al. (2005b); Santiago (2007a); Santiago (2007b)
Panama,Panama Transect,8,-80,25,3100,17.9,,10,15,0.75,,,,,,140,Ultisol,Condit et al. (2004); Santiago et al. (2004); Santiago & Mulkey (2005); Santiago et al. (2005b); Santiago (2007a); Santiago (2007b)
Panama,Panama Transect,8,-80,25,2300,18.8,,10.5,19,1,,,,,,210,Andisol,Condit et al. (2004); Santiago et al. (2004); Santiago & Mulkey (2005); Santiago et al. (2005b); Santiago (2007a); Santiago (2007b)
Panama,Panama Transect,8,-80,25,1800,22.6,,12.5,23,1.4,,,,,,60,Andisol,Condit et al. (2004); Santiago et al. (2004); Santiago & Mulkey (2005); Santiago et al. (2005b); Santiago (2007a); Santiago (2007b)
Papua New Guinea,"Mongi-Busiga, PNG",-6.7,147.8,26.3,4420,16.9,,9.5,14.7,2.2,0.7,,0.54,6,,130,Inceptisol,Abe (2007)
Papua New Guinea,Ridge,-6,145.2,13,3985,11.4,4,7.4,9.7,0.54,,,,,,2450,,Edwards (1977); Edwards & Grubb (1982); Grubb & Edwards (1982)
Papua New Guinea,Valley,-6,145.2,13,3985,13.3,,7.7,13.2,0.83,,,,,,2450,,Edwards (1977); Edwards & Grubb (1982); Grubb & Edwards (1982)
Papua New Guinea,Ridge Gap,-6,145.2,13,3985,13.8,,7.9,14.2,0.8,,,,,,2450,,Edwards (1977); Edwards & Grubb (1982); Grubb & Edwards (1982)
Papua New Guinea,Slope,-6,145.2,13,3985,12.5,,7.2,15.2,0.9,,,,,,2450,,Edwards (1977); Edwards & Grubb (1982); Grubb & Edwards (1982)
Peru,"RAINFOR - Cuzco Amazonico 1,2",-1.1,-77.6,26,2350,17.1,7.7,,,,,,0.45,,,200,Inceptisol,Mahli et al. (2004)
Peru,"RAINFOR - Allpahuayo A, clay rich soils (ALP-11)",-4,-73.4,26.3,2763,12.1,5.2,,17.6,0.84,,,0.06,,110,114,Andisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Sucusari B,-3.2,-72.9,26.3,2671,15.7,6.8,,18.2,0.9,,,0.17,,264,107,Ultisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Tambopata plot two swamp,-12.8,-69.3,25.2,2417,10.6,5,,18.8,1.31,,,,,,207,,Mahli et al. (2004); Fyllas et al. (2009)
Peru,RAINFOR - Yanamono A,-3.4,-72.9,26.3,2671,15.2,7.8,,19.7,1.24,,,0.18,,353,104,Ultsol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Sucusari A,-3.2,-72.9,26.3,2671,14.8,6.2,,19.9,0.9,,,0.17,,305,107,Ultisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Yanamono B,-3.4,-72.8,26.4,2671,11.6,,,20,1.17,,,0.16,,477,100,,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,"RAINFOR - Allpahuayo A, sandy soils (ALP-12)",-4,-73.4,26.3,2763,14.7,6.5,,20.3,0.78,,,0.13,,141,114,Ultisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,"RAINFOR - Allpahuayo B, sandy soils (ALP-21)",-4,-73.4,26.3,2763,15.3,7.3,,20.4,0.98,,,0.06,,34,114,,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,"RAINFOR - Allpahuayo B, clay rich soils (ALP-22)",-4,-73.4,26.3,2763,15.8,6.2,,21.2,1.02,,,0.16,,110,114,Ultisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Tambopata plot six,-12.8,-69.3,25.2,2417,15.4,6.2,,21.6,0.98,,,0.14,,178,209,Oxisol,"Chave et al. (2010), Malhi et al. (2004); Quesada et al. (2010);  Fyllas et al. (2009)"
Peru,RAINFOR - Tambopata plot two swamp edge,-12.8,-69.3,25.2,2417,18.6,7.5,,21.7,1.31,,,0.14,,342,207,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Cuzco Amazonico CUZAM2E,-12.5,-69.1,25.1,2162,17.1,7.7,,21.8,1.68,,,0.24,,727,200,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Tambopata plot zero,-12.9,-69.3,25,2417,15,7,,22.1,1.2,,,0.11,,337,239,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Tambopata plot one,-12.8,-69.3,25.2,2417,14.3,5.2,,22.9,1.16,,,0.15,,418,207,Inceptisol,Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Tambopata plot three,-12.8,-69.3,25.2,2417,15.1,5.4,9.7,24,1.05,,,0.16,,256,207,Oxisol,Arag†o et al. (2009); Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Peru,RAINFOR - Tambopata plot four,-12.8,-69.3,25.2,2417,16.5,7.1,9.4,24.8,1.88,,,0.17,,529,214,Inceptisol,Arag†o et al. (2009); Malhi et al. (2004); Quesada et al. (2010); Fyllas et al. (2009)
Puerto Rico,Luquillo - low elevation moist forest,18.3,-65.8,22.8,3460,10.5,3.2,8.7,15,0.7,1.4,12.9,0.31,34,351,330,,Brown et al. (1983); Frangi & Lugo (1985); McGroddy & Silver (2000); Ostertag et al. (2005); Parton et al. (2007); Scatena et al. (1993); Silver et al. (1994); Silver et al. (1998); Silver et al. (1999); Silver et al. (2001); Templer et al. (2008); Wang et al. (2004); Weaver & Murphy (1990)
Puerto Rico,"Luquillo, Short cloud forest",18.3,-65.8,20.7,4700,7.4,,5.8,,,0.7,,1,,129,1000,Oxisol,Brown et al. (1983); Frangi & Lugo (1985); McGroddy & Silver (2000); Ostertag et al. (2005); Parton et al. (2007); Scatena et al. (1993); Silver et al. (1994); Silver et al. (1998); Silver et al. (1999); Silver et al. (2001); Templer et al. (2008); Wang et al. (2004); Weaver & Murphy (1990)
Puerto Rico,Luquillo lower montane forest - palm,18.3,-65.8,19.7,4442,19.5,,6.9,,1.1,0.74,,0.33,,140,800,,Brown et al. (1983); Frangi & Lugo (1985); McGroddy & Silver (2000); Ostertag et al. (2005); Parton et al. (2007); Scatena et al. (1993); Silver et al. (1994); Silver et al. (1998); Silver et al. (1999); Silver et al. (2001); Templer et al. (2008); Wang et al. (2004); Weaver & Murphy (1990)
Trinidad,North Range Site 1,10.8,-61.3,26,1500,11.6,,6.8,10.6,0.4,,,,,,70,,Cornfort (1970)
USA,Maui 2200mm,20.8,-156.3,16,2200,9.5,0.9,8.7,13.3,0.66,,9.7,,,330,1370,Inceptisol,Houlton et al. (2006); Miller et al. (2001); Schuur et al. (2001); Schuur & Matson (2001)
USA,Maui 2450,20.8,-156.3,16,2450,10.5,0.4,10.2,12.9,0.56,,9.06,,,120,1370,Inceptisol,Houlton et al. (2006); Miller et al. (2001); Schuur et al. (2001); Schuur & Matson (2001)
USA,Maui 2750,20.8,-156.3,16,2750,9.6,1,8.5,9,0.49,,7.37,,,95,1370,Inceptisol,Houlton et al. (2006); Miller et al. (2001); Schuur et al. (2001); Schuur & Matson (2001)
USA,Maui 3350,20.8,-156.3,16,3350,9.4,1.3,9.2,11.1,0.57,,7.47,,,175,1320,Inceptisol,Houlton et al. (2006); Miller et al. (2001); Schuur et al. (2001); Schuur & Matson (2001)
USA,Maui 4050,20.8,-156.3,16,4050,7.4,0.2,6,9.8,0.56,,4.98,,,140,1300,Inceptisol,Houlton et al. (2006); Miller et al. (2001); Schuur et al. (2001); Schuur & Matson (2001)
USA,Maui 5050,20.8,-156.3,16,5050,4.1,0.1,4,8.4,0.73,,3.99,,,105,1270,Inceptisol,Houlton et al. (2006); Miller et al. (2001); Schuur et al. (2001); Schuur & Matson (2001)
USA,Kokee,22.1,-159.6,16,2500,8,,3.1,8.6,0.6,0.22,,0.28,8.3,400,1134,Andisol,Vitousek et al. (1995); Crews et al. (1995); Vitousek (2004)
USA,Thurston,19.4,-155.2,16,2500,10.54,,4.3,8.7,0.6,0.32,,0.28,,800,1176,Andisol,Vitousek et al. (1995); Crews et al. (1995); Vitousek (2004)
USA,Laupahoehoe,19.8,-155.2,16,2500,9.7,,3.08,14.2,1.08,0.8,,0.83,17.1,1235,1170,Andisol,Vitousek et al. (1995); Crews et al. (1995); Vitousek (2004)
Venezuela,San Carlos - Ultisol,1.9,-67.1,26,3565,15.9,4.7,6.1,18.5,0.59,0.5,4.6,0.1,,180,119,Ultisol,Cuevas & Medina (1986); Cuevas & Medina (1988); Jordan (1985); Medina et al. (1980); Saldarriaga et al. (1988); Uhl (1981); Uhl & Murphy (1981); Uhl (1982); Uhl & Jordan 1984); Uhl (1987)
Venezuela,San Carlos - oxisol,1.9,-67.1,26,3178,9.1,3.5,5.5,15.3,1.4,,3.69,0.11,,103,119,Oxisol,Cuevas & Medina (1986); Cuevas & Medina (1988); Jordan (1985); Medina et al. (1980); Saldarriaga et al. (1988); Uhl (1981); Uhl & Murphy (1981); Uhl (1982); Uhl & Jordan 1984); Uhl (1987)
Venezuela,Montane forest,8,-72,13,2500,12.2,4.6,4.5,,,,,,,,2550,Inceptisol,Tanner et al. (1992); Tanner et al. (1998)
